fact_id,fact,fact_category,source,created_at,note
1,"If earth's history were condensed into 24 hours, life wouldve appeared at 4am, land plants at 10:24pm, dinosaur extinction at 11:41pm and human history would've begun at 11:58:43pm.",,https://funfactz.com/science/earth-history-condensed,,
2,"You can remember the value of ""pi"" by counting each word's letters in ""May I have a large container of coffee""",Werd Facts,https://math.hmc.edu/funfacts/memorizing-pi/,,
3,"According to Genesis 1:20-22, the chicken came before the egg.",Animals Facts,https://thefactbase.com/according-to-genesis-1-20-22-the-chicken-came-before-the-egg/,,
4,"Cows have ""best friends"" and get stressed when separated.",Animals Facts,https://buzztatler.com/do-cows-have-best-friends-heres-what-science-says/,,
5,"The two most effective
 treatments for battling
 depression are exercise and
 spending time with pets.",Psychology&Human Behavior,https://www.nature.com/articles/s41380-022-01819-w,,
6,"Your shadow will always be
 aimed directly at the middle of
 a rainbow.",Strange Science,https://www.natgeokids.com/nz/discover/science/nature/science-dr-karl-rainbow/,,
7,"The average amount of time a
 woman can keep a secret is 47
 hours and 15 minutes.",Psychology&Human Behavior,https://thefactbase.com/the-average-amount-of-time-a-woman-can-keep-a-secret-is-47-hours-and-15-minutes/,,
8,"In France, you can marry a
 dead person.",Peculiar Humans,https://en.wikipedia.org/wiki/Posthumous_marriage_in_France,,
9,"Seeing others positively
 reveals our positive traits,
 seeing others negatively
 reveals our negative traits.",Psychology,https://www.sciencedaily.com/releases/2010/08/100802165441.htm,,
10,"The word 'run' holds the record for most definitions of an english word, totaling 645.",Werd Facts,https://www.mentalfloss.com/article/582820/run-most-complex-word-in-english-language,,
11,The actors who voiced Mickey and Minnie Mouse got married in real life. Russi Taylor (Minnie) and Wayne Allwine (Mickey) tied the knot in 1991.,Pop  Culture,https://www.thedisneyclassics.com/blog/mickey-and-minnie,,
12,"Nutmeg is a hallucinogen. The spice contains myristicin, a natural compound that has mind-altering effects if ingested in large doses.",Strange Science,https://tripsitter.com/psychedelics/natural/page/5/,,
13,"Ironically, the fear of long words is called Hippopotomonstrosesquippedaliophobia. The 36-letter word was first used in the first century BCE to criticise writers with an unreasonable penchant for long words.",Werd Facts,https://www.verywellmind.com/hippopotomonstrosesquipedaliophobia-2671752,,
14,Rats have the ability to laugh. They do so when tickled.,Animals Facts,https://www.newscientist.com/article/2385124-rats-have-a-laugh-centre-in-their-brains-that-responds-to-tickling/,,
15,"No number before 1,000 contains the letter 'A' when spelled out.",Werd Facts,https://interestingfacts.com/fact/no-number-before-1000-contains-letter-a/,,
16,Some cats are allergic to people.,Animals Facts,https://articles.hepper.com/could-your-cat-be-allergic-to-you/,,
17,"Chainsaws were first invented for childbirth. They were developed in Scotland in the late 18th Century to help aid and speed up the process of symphysiotomy (widening the pubic cartilage), and the removal of disease-laden bone during childbirth.",Strange Science,https://www.iflscience.com/we-regret-to-inform-you-that-chainsaws-were-originally-invented-for-childbirth-58685,,
18,Cows are able to walk up stairs but aren't able to go down them without help.,Animals Facts,https://iere.org/why-cant-cows-walk-downstairs/,,
19,A group of frogs is called an army.,Animals Facts,,,
20,"A group of bunnies is called a ""fluffle.""",Animals Facts,,,
21,"It's illegal to own just one guinea pig in Switzerland. It's considered animal abuse, because they're social beings and get lonely.",Animals Facts,,,
22,"Dr. Seuss wrote ""Green Eggs and Ham"" on a bet.",Pop  Culture,,,Dr. Seuss said he wrote it after Bennett Cerf bet he couldn’t write a book using only 50 words.
23,A team of six women programmed the first digital computer.,Pop  Culture,,,"ENIAC programmers (Kay McNulty, Betty Jennings, Betty Snyder, Marlyn Wescoff, Fran Bilas, Ruth Lichterman)."
24,The continent of Africa is in all four hemispheres,Weird World,,,Africa crosses the Equator and the Prime Meridian.
25,The shortest commercial flight in the world takes place in Scotland. Regional airline Loganair flies between the islands Westray and Papa Westray. The journey is just 1.7 miles and takes 90 seconds.,,,,Loganair’s Westray → Papa Westray route (about 90 seconds).
26,"The Beatles' song ""A Day in the Life"" has a frequency only dogs can hear. It's at the end of the song.",Pop  Culture,,,The Beatles added a 15 kHz high‑frequency tone as a playful Easter egg.
27,Hazelnuts are the official state nut of Oregon,,,,
28,Finland has ranked as the happiest country in the world for seven years straight.,,,,
29,The iCarly high school set was also used for Saved by the Bell and That's So Raven. That's why it looks so familiar!,Pop  Culture,,,
30,All clown fish are born male. They can become female later in life.,Animals Facts,,,
31,All the clocks in Pulp Fiction are set to 4:20.,Pop  Culture,,,
32,"Kim Kardashian has a 'glam' clause in her will. It states that if she's ever in a position where she can't get ready herself, can't communicate, or is unconscious, someone has to make sure her hair, nails, and makeup are all perfect",Pop  Culture,,,
33,"People used to say ""prunes"" instead of ""cheese"" when getting their pictures taken. In the 1840s, a cheesy grin was seen as childish, so a London photographer told people to say ""prunes"" to keep their mouths tight.",,,,
34,"In Japan, you can buy square watermelons.",,,,
35,A jiffy is an actual unit of time. It's 1/100th of a second.,,,,
36,"Put two capfuls of pure vanilla extract into an oven-safe container, then place in the oven for an hour at 300 degrees. within 20 minutes your house will smell like heaven!",,,,
37,"The unicorn is the national animal of Scotland. It was apparently chosen because of its connection with dominance and chivalry, as well as purity and innocence in Celtic mythology.",,,,
38,Harry Styles has four nipples. He has a common condition called polythelia.,Pop  Culture,,,
39,Triskaidekaphobia is the most common word used in spelling bees,Werd Facts,,,